FID,autonomia,carretera,causa,fechahora_,hacia,matricula,nivel,pk_final,pk_inicial,poblacion,provincia,ref_incide,sentido,tipo,tipolocali,version_in,x,xml_fragme,xml_id,xml_matche,xml_parent,xml_pare_1,y,X1,Y1,actualizad
236,LA_RIOJA,LR-260,TRABAJOS DE MANTENIMIENTO,2020/06/23 22:46:00,LP NAVARRA,LO,AMARILLO,13.2,11.5,ALCANADRE,LA RIOJA,LO006238336,CRECIENTE DE LA KILOMETRICA,OBRAS,0,1,42.3984247,"﻿<?xml version=""1.0"" encoding=""UTF-16""?><incidencia>
<tipo>OBRAS</tipo>
<autonomia>LA_RIOJA</autonomia>
<provincia>LA RIOJA</provincia>
<matricula>LO</matricula>
<causa>TRABAJOS DE MANTENIMIENTO</causa>
<poblacion>ALCANADRE</poblacion>
<fechahora_ini>2",id-incidencia-1.236,incidencia, , ,-2.1313043,-2.1313043,42.3984247,2021/01/19 21:31:00
237,LA_RIOJA,N-232,TRABAJOS DE MANTENIMIENTO,2020/10/09 09:27:00, ,LO,AMARILLO,343.545,343.545,ALFARO,LA RIOJA,LO008108131,AMBOS SENTIDOS,OBRAS,0,2,42.2157464,"﻿<?xml version=""1.0"" encoding=""UTF-16""?><incidencia>
<tipo>OBRAS</tipo>
<autonomia>LA_RIOJA</autonomia>
<provincia>LA RIOJA</provincia>
<matricula>LO</matricula>
<causa>TRABAJOS DE MANTENIMIENTO</causa>
<poblacion>ALFARO</poblacion>
<fechahora_ini>2020",id-incidencia-1.237,incidencia, , ,-1.818746,-1.818746,42.2157464,2021/01/19 21:31:00
238,LA_RIOJA,LR-134,REASFALTADO,2020/11/19 14:25:00, ,LO,NEGRO,18.7,18.7,CALAHORRA,LA RIOJA,LO011199264,AMBOS SENTIDOS,OBRAS,0,1,42.32878,"﻿<?xml version=""1.0"" encoding=""UTF-16""?><incidencia>
<tipo>OBRAS</tipo>
<autonomia>LA_RIOJA</autonomia>
<provincia>LA RIOJA</provincia>
<matricula>LO</matricula>
<causa>REASFALTADO</causa>
<poblacion>CALAHORRA</poblacion>
<fechahora_ini>2020-11-19 14:2",id-incidencia-1.238,incidencia, , ,-1.93727,-1.93727,42.32878,2021/01/19 21:31:00
239,LA_RIOJA,LR-113,TRABAJOS DE MANTENIMIENTO,2020/03/06 04:06:00, ,LO,ROJO,23,22,CANALES DE LA SIERRA,LA RIOJA,LO001108173,AMBOS SENTIDOS,OBRAS,0,3,42.1644684,"﻿<?xml version=""1.0"" encoding=""UTF-16""?><incidencia>
<tipo>OBRAS</tipo>
<autonomia>LA_RIOJA</autonomia>
<provincia>LA RIOJA</provincia>
<matricula>LO</matricula>
<causa>TRABAJOS DE MANTENIMIENTO</causa>
<poblacion>CANALES DE LA SIERRA</poblacion>
<fech",id-incidencia-1.239,incidencia, , ,-2.9004527,-2.9004527,42.1644684,2021/01/19 21:31:00
240,LA_RIOJA,LR-409,OBRAS EN GENERAL,2021/01/07 00:00:00, ,LO,ROJO,1.1,0.6,CIRIÑUELA,LA RIOJA,LO101079001,AMBOS SENTIDOS,OBRAS,0,2,42.4223352,"﻿<?xml version=""1.0"" encoding=""UTF-16""?><incidencia>
<tipo>OBRAS</tipo>
<autonomia>LA_RIOJA</autonomia>
<provincia>LA RIOJA</provincia>
<matricula>LO</matricula>
<causa>OBRAS EN GENERAL</causa>
<poblacion>CIRIÑUELA</poblacion>
<fechahora_ini>2021-01-0",id-incidencia-1.240,incidencia, , ,-2.8944186,-2.8944186,42.4223352,2021/01/19 21:31:00
241,LA_RIOJA,LR-261,TRABAJOS DE MANTENIMIENTO,2020/07/10 18:10:00, ,LO,AMARILLO,10.8,10.8,LAGUNILLA DEL JUBERA,LA RIOJA,LO007109253,AMBOS SENTIDOS,OBRAS,0,1,42.3534278,"﻿<?xml version=""1.0"" encoding=""UTF-16""?><incidencia>
<tipo>OBRAS</tipo>
<autonomia>LA_RIOJA</autonomia>
<provincia>LA RIOJA</provincia>
<matricula>LO</matricula>
<causa>TRABAJOS DE MANTENIMIENTO</causa>
<poblacion>LAGUNILLA DEL JUBERA</poblacion>
<fech",id-incidencia-1.241,incidencia, , ,-2.3056619,-2.3056619,42.3534278,2021/01/19 21:31:00
242,LA_RIOJA,N-120,OBRAS EN GENERAL,2020/09/11 11:25:00, ,LO,ROJO,9.3,8,NAVARRETE,LA RIOJA,LO009118167,AMBOS SENTIDOS,OBRAS,0,1,42.44353,"﻿<?xml version=""1.0"" encoding=""UTF-16""?><incidencia>
<tipo>OBRAS</tipo>
<autonomia>LA_RIOJA</autonomia>
<provincia>LA RIOJA</provincia>
<matricula>LO</matricula>
<causa>OBRAS EN GENERAL</causa>
<poblacion>NAVARRETE</poblacion>
<fechahora_ini>2020-09-11",id-incidencia-1.242,incidencia, , ,-2.54476,-2.54476,42.44353,2021/01/19 21:31:00
243,LA_RIOJA,LR-261,TRABAJOS DE MANTENIMIENTO,2020/07/10 18:16:00, ,LO,AMARILLO,21.2,19.1,SANTA ENGRACIA,LA RIOJA,LO007109254,AMBOS SENTIDOS,OBRAS,0,1,42.2971212,"﻿<?xml version=""1.0"" encoding=""UTF-16""?><incidencia>
<tipo>OBRAS</tipo>
<autonomia>LA_RIOJA</autonomia>
<provincia>LA RIOJA</provincia>
<matricula>LO</matricula>
<causa>TRABAJOS DE MANTENIMIENTO</causa>
<poblacion>SANTA ENGRACIA</poblacion>
<fechahora_",id-incidencia-1.243,incidencia, , ,-2.2967908,-2.2967908,42.2971212,2021/01/19 21:31:00
244,GALICIA,LU-901,REASFALTADO,2018/09/19 21:52:00, ,LU,ROJO,16.5,9.8,BARRELA (A),LUGO,LU805269036,AMBOS SENTIDOS,OBRAS,0,2,42.5027,"﻿<?xml version=""1.0"" encoding=""UTF-16""?><incidencia>
<tipo>OBRAS</tipo>
<autonomia>GALICIA</autonomia>
<provincia>LUGO</provincia>
<matricula>LU</matricula>
<causa>REASFALTADO</causa>
<poblacion>BARRELA (A)</poblacion>
<fechahora_ini>2018-09-19 21:52</",id-incidencia-1.244,incidencia, , ,-7.87801,-7.87801,42.5027,2021/01/19 21:31:00
245,GALICIA,N-VI,TRABAJOS DE MANTENIMIENTO,2019/01/07 10:15:00, ,LU,AMARILLO,504.3,503.8,LUGO,LUGO,LU901078044,DECRECIENTE DE LA KILOMETRICA,OBRAS,0,1,43.0246215,"﻿<?xml version=""1.0"" encoding=""UTF-16""?><incidencia>
<tipo>OBRAS</tipo>
<autonomia>GALICIA</autonomia>
<provincia>LUGO</provincia>
<matricula>LU</matricula>
<causa>TRABAJOS DE MANTENIMIENTO</causa>
<poblacion>LUGO</poblacion>
<fechahora_ini>2019-01-07",id-incidencia-1.245,incidencia, , ,-7.5789196,-7.5789196,43.0246215,2021/01/19 21:31:00
246,GALICIA,LU-P-4806,TRABAJOS DE MANTENIMIENTO,2020/01/20 14:18:00, ,LU,AMARILLO,25.5,21.4,PONTENOVA (A),LUGO,LU001208265,AMBOS SENTIDOS,OBRAS,0,1,43.2332218,"﻿<?xml version=""1.0"" encoding=""UTF-16""?><incidencia>
<tipo>OBRAS</tipo>
<autonomia>GALICIA</autonomia>
<provincia>LUGO</provincia>
<matricula>LU</matricula>
<causa>TRABAJOS DE MANTENIMIENTO</causa>
<poblacion>PONTENOVA (A)</poblacion>
<fechahora_ini>20",id-incidencia-1.246,incidencia, , ,-7.207005,-7.207005,43.2332218,2021/01/19 21:31:00
247,GALICIA,N-540,OBRAS EN GENERAL,2020/05/20 02:59:00, ,LU,AMARILLO,61.8,59.8,SOILAN,LUGO,LU005208012,AMBOS SENTIDOS,OBRAS,0,1,42.5640394,"﻿<?xml version=""1.0"" encoding=""UTF-16""?><incidencia>
<tipo>OBRAS</tipo>
<autonomia>GALICIA</autonomia>
<provincia>LUGO</provincia>
<matricula>LU</matricula>
<causa>OBRAS EN GENERAL</causa>
<poblacion>SOILAN</poblacion>
<fechahora_ini>2020-05-20 02:59</",id-incidencia-1.247,incidencia, , ,-7.7999011,-7.7999011,42.5640394,2021/01/19 21:31:00
248,MADRID,M-513,OBRAS EN GENERAL,2020/12/18 11:55:00, ,M,VERDE,6.2,7,BOADILLA DEL MONTE,MADRID,OM012188218,DECRECIENTE DE LA KILOMETRICA,OBRAS,0,2,40.4114417,"﻿<?xml version=""1.0"" encoding=""UTF-16""?><incidencia>
<tipo>OBRAS</tipo>
<autonomia>MADRID</autonomia>
<provincia>MADRID</provincia>
<matricula>M</matricula>
<causa>OBRAS EN GENERAL</causa>
<poblacion>BOADILLA DEL MONTE</poblacion>
<fechahora_ini>2020-1",id-incidencia-1.248,incidencia, , ,-3.8885018,-3.8885018,40.4114417,2021/01/19 21:31:00
249,MADRID,A-2,OBRAS EN GENERAL,2020/06/21 21:15:00, ,M,VERDE,35,34,ORUGA (LA),MADRID,OM006218038,CRECIENTE DE LA KILOMETRICA,OBRAS,0,1,40.5043564,"﻿<?xml version=""1.0"" encoding=""UTF-16""?><incidencia>
<tipo>OBRAS</tipo>
<autonomia>MADRID</autonomia>
<provincia>MADRID</provincia>
<matricula>M</matricula>
<causa>OBRAS EN GENERAL</causa>
<poblacion>ORUGA (LA)</poblacion>
<fechahora_ini>2020-06-21 21:",id-incidencia-1.249,incidencia, , ,-3.3316106,-3.3316106,40.5043564,2021/01/19 21:31:00
250,MADRID,M-604,REASFALTADO,2019/08/05 10:17:00, ,M,AMARILLO,30,25,RASCAFRIA,MADRID,OM908058120,AMBOS SENTIDOS,OBRAS,0,1,40.9074989,"﻿<?xml version=""1.0"" encoding=""UTF-16""?><incidencia>
<tipo>OBRAS</tipo>
<autonomia>MADRID</autonomia>
<provincia>MADRID</provincia>
<matricula>M</matricula>
<causa>REASFALTADO</causa>
<poblacion>RASCAFRIA</poblacion>
<fechahora_ini>2019-08-05 10:17</fe",id-incidencia-1.250,incidencia, , ,-3.8753424,-3.8753424,40.9074989,2021/01/19 21:31:00
251,ANDALUCIA,AP-7,TRABAJOS DE MANTENIMIENTO,2021/01/19 20:00:00, ,MA,VERDE,151.2,150.2,BAHIA DORADA,MALAGA,MA101199216,CRECIENTE DE LA KILOMETRICA,OBRAS,0,2,36.4217328,"﻿<?xml version=""1.0"" encoding=""UTF-16""?><incidencia>
<tipo>OBRAS</tipo>
<autonomia>ANDALUCIA</autonomia>
<provincia>MALAGA</provincia>
<matricula>MA</matricula>
<causa>TRABAJOS DE MANTENIMIENTO</causa>
<poblacion>BAHIA DORADA</poblacion>
<fechahora_ini",id-incidencia-1.251,incidencia, , ,-5.217159,-5.217159,36.4217328,2021/01/19 21:31:00
252,ANDALUCIA,MA-6407,OBRAS EN GENERAL,2020/11/20 08:39:00, ,MA,ROJO,6,0.6,CAMPILLOS,MALAGA,MA011209141,AMBOS SENTIDOS,OBRAS,0,1,37.051316,"﻿<?xml version=""1.0"" encoding=""UTF-16""?><incidencia>
<tipo>OBRAS</tipo>
<autonomia>ANDALUCIA</autonomia>
<provincia>MALAGA</provincia>
<matricula>MA</matricula>
<causa>OBRAS EN GENERAL</causa>
<poblacion>CAMPILLOS</poblacion>
<fechahora_ini>2020-11-20",id-incidencia-1.252,incidencia, , ,-4.8873593,-4.8873593,37.051316,2021/01/19 21:31:00
253,ANDALUCIA,AP-7,OBRAS EN GENERAL,2021/01/12 10:24:00, ,MA,VERDE,221,224,TORREMOLINOS,MALAGA,MA101129164,DECRECIENTE DE LA KILOMETRICA,OBRAS,0,2,36.61188,"﻿<?xml version=""1.0"" encoding=""UTF-16""?><incidencia>
<tipo>OBRAS</tipo>
<autonomia>ANDALUCIA</autonomia>
<provincia>MALAGA</provincia>
<matricula>MA</matricula>
<causa>OBRAS EN GENERAL</causa>
<poblacion>TORREMOLINOS</poblacion>
<fechahora_ini>2021-01-",id-incidencia-1.253,incidencia, , ,-4.52772,-4.52772,36.61188,2021/01/19 21:31:00
254,MURCIA,RM-A4,OBRAS EN GENERAL,2021/01/19 18:30:00, ,MU,AMARILLO,0.3,0,ESPARRAGAL,MURCIA,MU101198196,AMBOS SENTIDOS,OBRAS,0,1,38.02108,"﻿<?xml version=""1.0"" encoding=""UTF-16""?><incidencia>
<tipo>OBRAS</tipo>
<autonomia>MURCIA</autonomia>
<provincia>MURCIA</provincia>
<matricula>MU</matricula>
<causa>OBRAS EN GENERAL</causa>
<poblacion>ESPARRAGAL</poblacion>
<fechahora_ini>2021-01-19 18",id-incidencia-1.254,incidencia, , ,-1.13809,-1.13809,38.02108,2021/01/19 21:31:00
255,MURCIA,A-7,OBRAS EN GENERAL,2020/11/10 16:48:00, ,MU,NEGRO,636,636,LORCA,MURCIA,MU011109351,AMBOS SENTIDOS,OBRAS,0,2,37.6706416,"﻿<?xml version=""1.0"" encoding=""UTF-16""?><incidencia>
<tipo>OBRAS</tipo>
<autonomia>MURCIA</autonomia>
<provincia>MURCIA</provincia>
<matricula>MU</matricula>
<causa>OBRAS EN GENERAL</causa>
<poblacion>LORCA</poblacion>
<fechahora_ini>2020-11-10 16:48</",id-incidencia-1.255,incidencia, , ,-1.7096676,-1.7096676,37.6706416,2021/01/19 21:31:00
256,MURCIA,RM-F53,OBRAS EN GENERAL,2020/11/18 17:44:00, ,MU,NEGRO,1.8,2.2,ROSIQUES (LOS),MURCIA,MU011189279,AMBOS SENTIDOS,OBRAS,0,1,37.6624774,"﻿<?xml version=""1.0"" encoding=""UTF-16""?><incidencia>
<tipo>OBRAS</tipo>
<autonomia>MURCIA</autonomia>
<provincia>MURCIA</provincia>
<matricula>MU</matricula>
<causa>OBRAS EN GENERAL</causa>
<poblacion>ROSIQUES (LOS)</poblacion>
<fechahora_ini>2020-11-1",id-incidencia-1.256,incidencia, , ,-0.9446671,-0.9446671,37.6624774,2021/01/19 21:31:00
257,NAVARRA,AP-15,OBRAS EN GENERAL,2020/12/10 16:19:00, ,NA,AMARILLO,29,30.5,PERALTA,NAVARRA,NA012108268,DECRECIENTE DE LA KILOMETRICA,OBRAS,0,1,42.3364913,"﻿<?xml version=""1.0"" encoding=""UTF-16""?><incidencia>
<tipo>OBRAS</tipo>
<autonomia>NAVARRA</autonomia>
<provincia>NAVARRA</provincia>
<matricula>NA</matricula>
<causa>OBRAS EN GENERAL</causa>
<poblacion>PERALTA</poblacion>
<fechahora_ini>2020-12-10 16:",id-incidencia-1.257,incidencia, , ,-1.7248559,-1.7248559,42.3364913,2021/01/19 21:31:00
