"","COD_INE","Municipio","Poblacion"
"318","17008","Anglès",5654
"319","17009","Arbúcies",6608
"320","17010","Argelaguer",396
"321","17011","Armentera, L'",951
"322","17012","Avinyonet de Puigventós",1641
"323","17015","Banyoles",20053
"324","17016","Bàscara",1001
"325","17013","Begur",3891
"326","17018","Bellcaire d'Empordà",678
"327","17019","Besalú",2487
"328","17020","Bescanó",4991
"329","17021","Beuda",186
"330","17022","Bisbal d'Empordà, La",11159
"331","17234","Biure",241
"332","17023","Blanes",39914
"333","17029","Boadella i les Escaules",272
"334","17024","Bolvir",375
"335","17025","Bordils",1761
"336","17026","Borrassà",733
"337","17027","Breda",3762
"338","17028","Brunyola i Sant Martí Sapresa",389
"339","17031","Cabanelles",267
"340","17030","Cabanes",968
"341","17032","Cadaqués",2695
"342","17033","Caldes de Malavella",7872
"343","17034","Calonge i Sant Antoni",11331
"344","17035","Camós",677
"345","17036","Campdevànol",3232
"346","17037","Campelles",140
"347","17038","Campllong",537
"348","17039","Camprodon",2298
"349","17040","Canet d'Adri",729
"350","17041","Cantallops",309
"351","17042","Capmany",611
"352","17044","Cassà de la Selva",10410
"353","17046","Castellfollit de la Roca",947
"354","17047","Castelló d'Empúries",11100
"355","17048","Castell-Platja d'Aro",11030
"356","17189","Cellera de Ter, La",1950
"357","17049","Celrà",5561
"358","17050","Cervià de Ter",966
"359","17051","Cistella",282
"360","17054","Colera",445
"361","17055","Colomers",174
"362","17057","Corçà",1268
"363","17056","Cornellà del Terri",2399
"364","17058","Crespià",254
"365","17901","Cruïlles, Monells i Sant Sadurní de l'Heura",1270
"366","17060","Darnius",537
"367","17061","Das",234
"368","17062","Escala, L'",10244
"369","17063","Espinelves",221
"370","17064","Espolla",412
"371","17065","Esponellà",463
"372","17005","Far d'Empordà, El",602
"373","17066","Figueres",47235
"374","17067","Flaçà",1130
"375","17068","Foixà",303
"376","17069","Fontanals de Cerdanya",437
"377","17070","Fontanilles",146
"378","17071","Fontcoberta",1469
"379","17902","Forallac",1695
"380","17073","Fornells de la Selva",2670
"381","17074","Fortià",787
"382","17075","Garrigàs",451
"383","17076","Garrigoles",167
"384","17077","Garriguella",853
"385","17078","Ger",449
"386","17079","Girona",103369
"387","17080","Gombrèn",192
"388","17081","Gualta",402
"389","17082","Guils de Cerdanya",549
"390","17083","Hostalric",4291
"391","17084","Isòvol",281
"392","17085","Jafre",387
"393","17086","Jonquera, La",3320
"394","17087","Juià",319
"395","17088","Lladó",844
"396","17089","Llagostera",8647
"397","17090","Llambilles",713
"398","17091","Llanars",535
"399","17092","Llançà",4775
"400","17093","Llers",1237
"401","17094","Llívia",1431
"402","17095","Lloret de Mar",39089
"403","17096","Llosses, Les",212
"404","17102","Maçanet de Cabrenys",698
"405","17103","Maçanet de la Selva",7066
"406","17097","Madremanya",288
"407","17098","Maià de Montcal",463
"408","17100","Masarac",288
"409","17101","Massanes",796
"410","17099","Meranges",100
"411","17105","Mieres",345
"412","17106","Mollet de Peralada",198
"413","17107","Molló",336
"414","17109","Montagut i Oix",930
"415","17110","Mont-ras",1680
"416","17111","Navata",1427
"417","17112","Ogassa",240
"418","17114","Olot",35926
