Municipios;Sexo;Periodo;Total
08241 Sant Sadurní d'Osormort;Total;2020;76
08098 Sant Salvador de Guardiola;Total;2020;3.221
08262 Sant Vicenç de Castellet;Total;2020;9.767
08264 Sant Vicenç de Montalt;Total;2020;6.452
08265 Sant Vicenç de Torelló;Total;2020;2.058
08263 Sant Vicenç dels Horts;Total;2020;28.268
08243 Santa Cecília de Voltregà;Total;2020;182
08244 Santa Coloma de Cervelló;Total;2020;8.268
08245 Santa Coloma de Gramenet;Total;2020;120.443
08246 Santa Eugènia de Berga;Total;2020;2.278
08247 Santa Eulàlia de Riuprimer;Total;2020;1.383
08248 Santa Eulàlia de Ronçana;Total;2020;7.426
08249 Santa Fe del Penedès;Total;2020;367
08250 Santa Margarida de Montbui;Total;2020;10.225
08251 Santa Margarida i els Monjos;Total;2020;7.676
08253 Santa Maria de Besora;Total;2020;161
08256 Santa Maria de Martorelles;Total;2020;890
08255 Santa Maria de Merlès;Total;2020;184
08257 Santa Maria de Miralles;Total;2020;119
08259 Santa Maria de Palautordera;Total;2020;9.630
08258 Santa Maria d'Oló;Total;2020;1.024
08260 Santa Perpètua de Mogoda;Total;2020;25.999
08261 Santa Susanna;Total;2020;3.548
08192 Santpedor;Total;2020;7.604
08267 Sentmenat;Total;2020;9.235
08269 Seva;Total;2020;3.544
08270 Sitges;Total;2020;29.553
08271 Sobremunt;Total;2020;78
08272 Sora;Total;2020;212
08273 Subirats;Total;2020;3.104
08274 Súria;Total;2020;5.948
08276 Tagamanent;Total;2020;318
08277 Talamanca;Total;2020;209
08278 Taradell;Total;2020;6.640
08275 Tavèrnoles;Total;2020;322
08280 Tavertet;Total;2020;105
08281 Teià;Total;2020;6.427
08279 Terrassa;Total;2020;223.627
08282 Tiana;Total;2020;8.945
08283 Tona;Total;2020;8.356
08284 Tordera;Total;2020;17.519
08285 Torelló;Total;2020;14.400
08286 Torre de Claramunt, La;Total;2020;3.741
08287 Torrelavit;Total;2020;1.422
08288 Torrelles de Foix;Total;2020;2.398
08289 Torrelles de Llobregat;Total;2020;6.073
08290 Ullastrell;Total;2020;2.089
08291 Vacarisses;Total;2020;6.832
08292 Vallbona d'Anoia;Total;2020;1.357
08293 Vallcebre;Total;2020;249
08294 Vallgorguina;Total;2020;2.988
08295 Vallirana;Total;2020;15.312
08296 Vallromanes;Total;2020;2.558
08297 Veciana;Total;2020;175
08298 Vic;Total;2020;47.630
08299 Vilada;Total;2020;419
08301 Viladecans;Total;2020;67.197
08300 Viladecavalls;Total;2020;7.545
08305 Vilafranca del Penedès;Total;2020;40.154
08306 Vilalba Sasserra;Total;2020;753
08303 Vilanova de Sau;Total;2020;312
08302 Vilanova del Camí;Total;2020;12.596
08902 Vilanova del Vallès;Total;2020;5.503
08307 Vilanova i la Geltrú;Total;2020;67.733
08214 Vilassar de Dalt;Total;2020;9.072
08219 Vilassar de Mar;Total;2020;21.035
08304 Vilobí del Penedès;Total;2020;1.102
08308 Viver i Serrateix;Total;2020;172
