"","X","COD_INE","Municipio","Poblacion"
"401",401,17094,"Llívia",1431
"402",402,17095,"Lloret de Mar",39089
"403",403,17096,"Les Llosses",212
"404",404,17102,"Maçanet de Cabrenys",698
"405",405,17103,"Maçanet de la Selva",7066
"406",406,17097,"Madremanya",288
"407",407,17098,"Maià de Montcal",463
"408",408,17100,"Masarac",288
"409",409,17101,"Massanes",796
"410",410,17099,"Meranges",100
"411",411,17105,"Mieres",345
"412",412,17106,"Mollet de Peralada",198
"413",413,17107,"Molló",336
"414",414,17109,"Montagut i Oix",930
"415",415,17110,"Mont-ras",1680
"416",416,17111,"Navata",1427
"417",417,17112,"Ogassa",240
"418",418,17114,"Olot",35926
"419",419,17115,"Ordis",361
"420",420,17116,"Osor",428
"421",421,17117,"Palafrugell",23244
"422",422,17118,"Palamós",18135
"423",423,17119,"Palau de Santa Eulàlia",90
"424",424,17121,"Palau-sator",310
"425",425,17120,"Palau-saverdera",1456
"426",426,17123,"Palol de Revardit",448
"427",427,17124,"Pals",2395
"428",428,17125,"Pardines",169
"429",429,17126,"Parlavà",391
"430",430,17128,"Pau",557
"431",431,17129,"Pedret i Marzà",191
"432",432,17130,"La Pera",435
"433",433,17132,"Peralada",1898
"434",434,17133,"Les Planes d'Hostoles",1712
"435",435,17134,"Planoles",304
"436",436,17135,"Pont de Molins",516
"437",437,17136,"Pontós",260
"438",438,17137,"Porqueres",4677
"439",439,17140,"El Port de la Selva",958
"440",440,17138,"Portbou",1063
"441",441,17139,"Les Preses",1855
"442",442,17141,"Puigcerdà",9486
"443",443,17142,"Quart",3798
"444",444,17043,"Queralbs",188
"445",445,17143,"Rabós",184
"446",446,17144,"Regencós",276
"447",447,17145,"Ribes de Freser",1760
"448",448,17146,"Riells i Viabrea",4153
"449",449,17147,"Ripoll",10803
"450",450,17148,"Riudarenes",2204
"451",451,17149,"Riudaura",481
"452",452,17150,"Riudellots de la Selva",2071
"453",453,17151,"Riumors",246
"454",454,17152,"Roses",19807
"455",455,17153,"Rupià",273
"456",456,17154,"Sales de Llierca",159
"457",457,17155,"Salt",32138
"458",458,17157,"Sant Andreu Salou",160
"459",459,17183,"Sant Aniol de Finestres",345
"460",460,17158,"Sant Climent Sescebes",707
"461",461,17159,"Sant Feliu de Buixalleu",797
"462",462,17160,"Sant Feliu de Guíxols",22097
"463",463,17161,"Sant Feliu de Pallerols",1437
"464",464,17162,"Sant Ferriol",236
"465",465,17163,"Sant Gregori",3928
"466",466,17164,"Sant Hilari Sacalm",5703
"467",467,17165,"Sant Jaume de Llierca",871
"468",468,17167,"Sant Joan de les Abadesses",3224
"469",469,17168,"Sant Joan de Mollet",498
"470",470,17185,"Sant Joan les Fonts",3044
"471",471,17166,"Sant Jordi Desvalls",760
"472",472,17169,"Sant Julià de Ramis",3576
"473",473,17903,"Sant Julià del Llor i Bonmatí",1313
"474",474,17171,"Sant Llorenç de la Muga",265
"475",475,17172,"Sant Martí de Llémena",641
"476",476,17173,"Sant Martí Vell",251
"477",477,17174,"Sant Miquel de Campmajor",229
"478",478,17175,"Sant Miquel de Fluvià",761
"479",479,17176,"Sant Mori",166
"480",480,17177,"Sant Pau de Segúries",688
"481",481,17178,"Sant Pere Pescador",2090
"482",482,17180,"Santa Coloma de Farners",13363
"483",483,17181,"Santa Cristina d'Aro",5287
"484",484,17182,"Santa Llogaia d'Àlguema",368
"485",485,17184,"Santa Pau",1614
"486",486,17186,"Sarrià de Ter",5229
"487",487,17187,"Saus, Camallera i Llampaies",856
"488",488,17188,"La Selva de Mar",195
"489",489,17190,"Serinyà",1133
"490",490,17191,"Serra de Daró",222
"491",491,17192,"Setcases",170
"492",492,17193,"Sils",6219
"493",493,17052,"Siurana",171
"494",494,17194,"Susqueda",93
"495",495,17195,"La Tallada d'Empordà",454
"496",496,17196,"Terrades",338
"497",497,17197,"Torrent",164
"498",498,17198,"Torroella de Fluvià",703
"499",499,17199,"Torroella de Montgrí",11836
"500",500,17200,"Tortellà",818
"501",501,17201,"Toses",168
"502",502,17202,"Tossa de Mar",5818
"503",503,17204,"Ullà",1177
"504",504,17205,"Ullastret",274
"505",505,17203,"Ultramort",225
"506",506,17206,"Urús",196
"507",507,17014,"La Vajol",89
"508",508,17208,"La Vall de Bianya",1275
"509",509,17207,"La Vall d'en Bas",3093
"510",510,17170,"Vallfogona de Ripollès",196
"511",511,17209,"Vall-llobrega",897
"512",512,17210,"Ventalló",846
"513",513,17211,"Verges",1169
"514",514,17212,"Vidrà",177
"515",515,17213,"Vidreres",7951
"516",516,17214,"Vilabertran",993
"517",517,17215,"Vilablareix",3063
"518",518,17217,"Viladamat",458
"519",519,17216,"Viladasens",206
