"","house.price","RP","crime","built.area","age","retired","children","immigrants","shopping","historical","baths","type.house","floor","good.cond","garage","elevator","air.cond","swimming.pool","M.30","longitude","latitude"
"8949",5385,0.28,0.29,130,5,22.4451037773467,10.8508323139206,8.57455680888883,1,1,2,"piso","cuar.-quinta","bueno","no","si","si","ZZZ",0,-3.682244,40.430877
"3132",2032,0.17,0.25,63,32.3551468189523,21.8191401950297,11.6618606886501,13.9478008774786,0,0,1,"piso","bajo","a_reformar","no","no","no","no",1,-3.719172,40.445183
"11379",2341,0.26,0.41,85,32.9803441036203,22.7526510007271,10.208239022182,9.66020549542505,0,0,1,"piso","ZZZ","bueno","no","no","no","no",0,-3.646367,40.432821
"6819",3151,0.31,0.51,85,0,12.3985863211007,16.4262375247283,6.55271288537198,0,0,2,"piso","seg.-terc.","bueno","no","si","ZZZ","ZZZ",0,-3.7147415,40.396718
"8337",4082,0.25,0.24,49,30,16.2444144382421,8.89722566365522,18.5726018625499,1,1,1,"piso","cuar.-quinta","bueno","no","no","no","no",0,-3.673167,40.442914
"10766",2857,0.27,0.41,77,30,19.5566137701235,11.1810440577564,17.5599075693549,0,0,1,"piso","primera","a_reformar","no","si","no","no",0,-3.695526,40.466801
"1951",4211,0.22,0.53,95,15,21.8191401950297,11.6618606886501,13.9478008774786,0,0,2,"piso","cuar.-quinta","bueno","si","si","si","no",0,-3.743101,40.401426
"419",2722,0.11,0.28,90,30,21.8191401950297,11.6618606886501,13.9478008774786,0,0,1,"piso","primera","a_reformar","si","si","no","si",0,-3.76798,40.393578
"1675",3144,0.2,0.35,118,10,12.3985863211007,16.4262375247283,6.55271288537198,0,0,2,"piso","ZZZ","bueno","no","si","no","si",0,-3.750844,40.375386
"4369",2394,0.22,0.62,66,30,17.5324251570275,14.0851619218533,15.6513581858227,0,0,1,"piso","cuar.-quinta","bueno","no","no","no","no",0,-3.667463,40.376241
"7553",3632,0.44,0.57,106,30,16.4637662379734,12.4059736305031,12.0677702549483,1,1,2,"piso","primera","bueno","no","si","no","no",0,-3.69347,40.405348
"10724",4545,0.27,0.41,55,15,19.5566137701235,11.1810440577564,17.5599075693549,0,0,1,"piso","seg.-terc.","bueno","si","si","si","no",0,-3.701427,40.46605
"7981",4545,0.27,0.55,55,1.2069469789053,17.5324251570275,14.0851619218533,15.6513581858227,0,0,1,"atico","ZZZ","bueno","no","no","no","no",0,-3.648042,40.389951
"4952",3571,0.26,0.19,84,32.0650659695982,22.4451037773467,10.8508323139206,8.57455680888883,1,1,1,"piso","primera","bueno","no","si","ZZZ","ZZZ",0,-3.672527,40.425067
"7555",3626,0.44,0.57,91,30,16.4637662379734,12.4059736305031,12.0677702549483,1,1,1,"piso","cuar.-quinta","bueno","no","si","si","no",0,-3.695852,40.404221
"5357",5983,0.2,0.2,120,30,22.4451037773467,10.8508323139206,8.57455680888883,1,1,2,"piso","seg.-terc.","bueno","ZZZ","si","no","no",0,-3.67548,40.423102
"2877",2802,0.35,0.52,116,40,16.4637662379734,12.4059736305031,12.0677702549483,1,1,2,"piso","seg.-terc.","bueno","no","si","si","no",0,-3.6963,40.3991
"4527",3889,0.27,0.38,180,25,21.3085529446878,11.4343101904508,6.06361267736289,1,1,3,"piso","sexta_o_mas","bueno","si","si","si","no",0,-3.663383,40.416698
"7935",5983,0.1,0.17,130,40,15.6252175325429,15.5469058171102,7.53242685105692,1,0,1,"chalet","ZZZ","a_reformar","ZZZ","no","si","no",0,-3.6473741,40.458671
"10170",3137,0.19,0.48,145,15.9581589891023,16.9864075695667,15.7803097218604,9.82035623733057,0,0,2,"piso","ZZZ","bueno","si","si","ZZZ","ZZZ",0,-3.630724,40.440399
"5764",6357,0.39,0.56,70,10,16.4637662379734,12.4059736305031,12.0677702549483,1,1,2,"atico","sexta_o_mas","bueno","no","si","no","si",0,-3.694689,40.389165
"11687",1987,0.27,0.44,75,30,12.3985863211007,16.4262375247283,6.55271288537198,0,0,1,"piso","cuar.-quinta","bueno","no","si","no","no",0,-3.739407,40.391355
"9075",2232,0.21,0.28,280,4,16.9864075695667,15.7803097218604,9.82035623733057,0,0,4,"chalet","ZZZ","bueno","si","no","ZZZ","ZZZ",0,-3.581972,40.444449
