102,CATALUÑA,C-59,REASFALTADO,2021/02/01 17:33:00,\"\",B,VERDE,14.2,4.9,GALLECS,BARCELONA,OB102018220,AMBOS SENTIDOS,OBRAS,0,2,41.5594096,id-incidencia-1.102,incidencia,\"\",\"\",2.186232,2.186232,41.5594096,2021/02/05 14:30:00
103,CATALUÑA,BV-2429,OBRAS EN GENERAL,2020/11/16 10:34:00,\"\",B,VERDE,21.2,21.1,LAVERN,BARCELONA,OB011169264,AMBOS SENTIDOS,OBRAS,0,1,41.3957615,id-incidencia-1.103,incidencia,\"\",\"\",1.7687295,1.7687295,41.3957615,2021/02/05 14:30:00
104,CATALUÑA,C-243C,TRABAJOS DE MANTENIMIENTO,2021/02/01 10:09:00,TERRASSA,B,VERDE,12.8,0.0,MARTORELL,BARCELONA,OB911069284,AMBOS SENTIDOS,OBRAS,0,9,41.47247,id-incidencia-1.104,incidencia,\"\",\"\",1.93853,1.93853,41.47247,2021/02/05 14:30:00
105,CATALUÑA,C-17,REASFALTADO,2021/02/01 12:10:00,\"\",B,VERDE,10.5,10.0,MOLLET DEL VALLES,BARCELONA,OB102018223,AMBOS SENTIDOS,OBRAS,0,1,41.527211,id-incidencia-1.105,incidencia,\"\",\"\",2.2108401,2.2108401,41.527211,2021/02/05 14:30:00
106,CATALUÑA,C-17Z,TRABAJOS DE MANTENIMIENTO,2021/02/03 19:52:00,\"\",B,NEGRO,85.0,84.7,MONTESQUIU,BARCELONA,OB001279259,AMBOS SENTIDOS,OBRAS,0,27,42.1223118,id-incidencia-1.106,incidencia,\"\",\"\",2.2041772,2.2041772,42.1223118,2021/02/05 14:30:00
107,CATALUÑA,N-II,OBRAS EN GENERAL,2021/02/01 11:57:00,\"\",B,VERDE,656.8,631.8,MONTGAT,BARCELONA,OB102018218,AMBOS SENTIDOS,OBRAS,0,1,41.47189,id-incidencia-1.107,incidencia,\"\",\"\",2.29279,2.29279,41.47189,2021/02/05 14:30:00
108,CATALUÑA,N-II,OBRAS EN GENERAL,2021/01/25 09:15:00,\"\",B,VERDE,531.0,531.4,MONTMANEU,BARCELONA,OB101258112,AMBOS SENTIDOS,OBRAS,0,1,41.6220292,id-incidencia-1.108,incidencia,\"\",\"\",1.3882935,1.3882935,41.6220292,2021/02/05 14:30:00
109,CATALUÑA,BV-5301,TRABAJOS DE MANTENIMIENTO,2021/02/05 08:02:00,\"\",B,VERDE,26.0,20.0,MONTSENY,BARCELONA,OB102058061,AMBOS SENTIDOS,OBRAS,0,1,41.7785912,id-incidencia-1.109,incidencia,\"\",\"\",2.3978672,2.3978672,41.7785912,2021/02/05 14:30:00
110,CATALUÑA,C-17,TRABAJOS DE MANTENIMIENTO,2021/01/25 20:17:00,CANOVELLES,B,VERDE,18.7,14.7,POLIGON INDUSTRIAL Z,BARCELONA,OB101118173,AMBOS SENTIDOS,OBRAS,0,2,41.55957,id-incidencia-1.110,incidencia,\"\",\"\",2.23948,2.23948,41.55957,2021/02/05 14:30:00
111,CATALUÑA,B-400,OBRAS EN GENERAL,2019/11/01 18:43:00,\"\",B,VERDE,17.5,17.0,SALDES,BARCELONA,OB901070068,AMBOS SENTIDOS,OBRAS,0,22,42.2228062,id-incidencia-1.111,incidencia,\"\",\"\",1.7259923,1.7259923,42.2228062,2021/02/05 14:30:00
112,CATALUÑA,B-430,TRABAJOS DE MANTENIMIENTO,2020/08/29 16:47:00,\"\",B,NEGRO,1.0,0.0,SALLENT,BARCELONA,OB006099276,AMBOS SENTIDOS,OBRAS,0,3,41.80514,id-incidencia-1.112,incidencia,\"\",\"\",1.89831,1.89831,41.80514,2021/02/05 14:30:00
113,CATALUÑA,C-31,OBRAS EN GENERAL,2021/02/01 11:54:00,MATARO,B,VERDE,209.2,209.0,SANT ADRIA DE BESOS,BARCELONA,OB102019202,NORTE,OBRAS,0,1,41.4240426,id-incidencia-1.113,incidencia,\"\",\"\",2.2154512,2.2154512,41.4240426,2021/02/05 14:30:00
114,CATALUÑA,BV-2002,TRABAJOS DE MANTENIMIENTO,2021/02/01 09:57:00,\"\",B,VERDE,7.0,6.5,SANT BOI DE LLOBREGAT,BARCELONA,OB005239023,AMBOS SENTIDOS,OBRAS,0,15,41.3508689,id-incidencia-1.114,incidencia,\"\",\"\",2.039605,2.039605,41.3508689,2021/02/05 14:30:00
115,CATALUÑA,A-2,TRABAJOS DE MANTENIMIENTO,2021/02/01 11:43:00,\"\",B,VERDE,609.0,606.5,SANT FELIU DE LLOBREGAT,BARCELONA,OB011229036,AMBOS SENTIDOS,OBRAS,0,7,41.3561929,id-incidencia-1.115,incidencia,\"\",\"\",2.052245,2.052245,41.3561929,2021/02/05 14:30:00
