"","FID","Nombre_de_","Nombre_d_1","Descripcio","Operador","Longitude","Latitude","Municipio","Poblacion","COD_INE"
"37",13737,"Pg. Miramar (marquesina enfront Tropic)","L0808","Vilafranca - El Vendrell -Tarragona -Port Aventura","Autocars del Penedès, SA",1.40798038400004,41.144395935,"Torredembarra",16567,43153
"38",13753,"Rambla Vella (parada balcó del Mediterra","L0808","Vilafranca - El Vendrell -Tarragona -Port Aventura","Autocars del Penedès, SA",1.25523610100004,41.116385746,"Tarragona",136496,43148
"39",14356,"C. Sant Jordi - C. Sant Isidre (marquesi","L0808","Vilafranca - El Vendrell -Tarragona -Port Aventura","Autocars del Penedès, SA",1.45599201700003,41.1828632620001,"Roda de Berà",6785,43131
"40",14685,"C. dels Pins-bàsquet (Urb. Flor d'Ametll","L0808","Vilafranca - El Vendrell -Tarragona -Port Aventura","Autocars del Penedès, SA",1.40057268200007,41.190790017,"La Pobla de Montornès",2884,43111
"41",14864,"El Vendrell (estació d'autobusos)","L0808","Vilafranca - El Vendrell -Tarragona -Port Aventura","Autocars del Penedès, SA",1.53625099300007,41.218437318,"El Vendrell",38373,43163
"42",14935,"C. Marquès de Tamarit (marq. enfront pis","L0808","Vilafranca - El Vendrell -Tarragona -Port Aventura","Autocars del Penedès, SA",1.37331179600005,41.140281439,"Altafulla",5307,43012
"43",14957,"N-340 Arc de Berà (marquesina-sentit Bar","L0808","Vilafranca - El Vendrell -Tarragona -Port Aventura","Autocars del Penedès, SA",1.46975331200002,41.173544022,"Roda de Berà",6785,43131
"44",14962,"Av. Ntra.S. Assumpció-C. Martí i Pol (ma","L0808","Vilafranca - El Vendrell -Tarragona -Port Aventura","Autocars del Penedès, SA",1.57367076200006,41.2383181550001,"Bellvei",2237,43024
"45",14997,"Ctra. de l'estació (enfront Creu Roja)","L0808","Vilafranca - El Vendrell -Tarragona -Port Aventura","Autocars del Penedès, SA",1.57260152100002,41.192564679,"Calafell",27601,43037
"46",15004,"Ctra. Barcelona, 20 (Les Mates)","L0808","Vilafranca - El Vendrell -Tarragona -Port Aventura","Autocars del Penedès, SA",1.54322504200007,41.2240203490001,"El Vendrell",38373,43163
"47",15028,"Via Augusta (parada Tuset - CAP Llevant)","L0808","Vilafranca - El Vendrell -Tarragona -Port Aventura","Autocars del Penedès, SA",1.27242453800005,41.120418984,"Tarragona",136496,43148
"48",15038,"Av. Miramar (CEIP l'Antina)","L0808","Vilafranca - El Vendrell -Tarragona -Port Aventura","Autocars del Penedès, SA",1.41402606000003,41.1471816110001,"Torredembarra",16567,43153
"49",15048,"Ctra. Pobla Montornès - C. Velàzquez (Cl","L0808","Vilafranca - El Vendrell -Tarragona -Port Aventura","Autocars del Penedès, SA",1.41703792800007,41.1512674320001,"Torredembarra",16567,43153
"50",17319,"Hospital Comarcal del Vendrell","L0808","Vilafranca - El Vendrell -Tarragona -Port Aventura","Autocars del Penedès, SA",1.55320906900005,41.2273439100001,"El Vendrell",38373,43163
"51",17802,"C. Margalló (La Muntanyeta-marq sentit V","L0808","Vilafranca - El Vendrell -Tarragona -Port Aventura","Autocars del Penedès, SA",1.54201299200002,41.2216540490001,"El Vendrell",38373,43163
"52",20272,"Vilafranca (Av. Vilanova)","L0808","Vilafranca - El Vendrell -Tarragona -Port Aventura","Autocars del Penedès, SA",1.70175337800003,41.3416453090001,"Vilafranca del Penedès",40154,8305
"53",21950,"la Gornal (N-340 - c.França) MB0146","L0808","Vilafranca - El Vendrell -Tarragona -Port Aventura","Autocars del Penedès, SA",1.59291519200002,41.2534984060001,"Castellet i la Gornal",2382,8058
"54",29762,"Pg. de la Sort, 34 (marquesina)","L0808","Vilafranca - El Vendrell -Tarragona -Port Aventura","Autocars del Penedès, SA",1.39903424700003,41.143308113,"Torredembarra",16567,43153
"55",29777,"C. Marquès de Tamarit (marquesina piscin","L0808","Vilafranca - El Vendrell -Tarragona -Port Aventura","Autocars del Penedès, SA",1.37423382700007,41.1400962930001,"Altafulla",5307,43012
"56",29800,"Rambla Vella (Hotel Imperial Tarraco)","L0808","Vilafranca - El Vendrell -Tarragona -Port Aventura","Autocars del Penedès, SA",1.25725367700005,41.1153083720001,"Tarragona",136496,43148
"57",30128,"C. Joan Fuster (baixador Renfe - Port Av","L0808","Vilafranca - El Vendrell -Tarragona -Port Aventura","Autocars del Penedès, SA",1.14545237900006,41.086486065,"Salou",28526,43905
"58",30918,"Tarragona (estació d'autobusos)","L0808","Vilafranca - El Vendrell -Tarragona -Port Aventura","Autocars del Penedès, SA",1.24443046600004,41.118275253,"Tarragona",136496,43148
